ticker,name,asset_class,weight,amount_10m_krw,price_krw,shares,note
360750.KS,TIGER 미국S&P500,us_equity_krx,0.11599711175655278,1159971,27865,41.6282,
153130.KS,KODEX 단기채권,cash_krw,0.11359574459836627,1135957,113300,10.0261,
458730.KS,TIGER 미국배당다우존스,us_equity_krx,0.09982910699544496,998291,15610,63.952,
133690.KS,TIGER 미국나스닥100,us_equity_krx,0.08529060026213335,852906,195705,4.3581,
148070.KS,KOSEF 국고채10년,bond,0.07328987930931195,732899,103855,7.0569,
SCHD,미국배당 ETF,us_equity_etf,0.07194494613156985,719449,49352,14.5779,
SPY,S&P500 ETF,us_equity_etf,0.06081176106304474,608118,1123028,0.5415,fractional needed
QQQ,Nasdaq100 ETF,us_equity_etf,0.05118779826826784,511878,1078506,0.4746,fractional needed
IWM,미국소형주 ETF,us_equity_etf,0.047915441847838136,479154,434279,1.1033,
SHY,미국채1-3년 ETF,cash_usd,0.045183468676147524,451835,124850,3.619,
261240.KS,KODEX 미국달러선물,cash_usd,0.044865653047964325,448657,15635,28.6957,
IEF,미국채7-10년 ETF,bond,0.04005150733380613,400515,142891,2.8029,
411060.KS,ACE KRX금현물,gold,0.04002959334145123,400296,28525,14.0332,
GLD,금 ETF,gold,0.03519942832463052,351994,595424,0.5912,fractional needed
TLT,미국채20년+ ETF,bond,0.03301374703440382,330137,129696,2.5455,
069500.KS,KODEX 200,kr_equity_etf,0.021071945861506913,210719,125725,1.676,
229200.KS,KODEX 코스닥150,kr_equity_etf,0.020722266147559714,207223,17105,12.1147,
