ticker,name,asset_class,weight,amount_10m_krw,price_krw,shares,note
360750.KS,TIGER 미국S&P500,us_equity_krx,0.127034583680059,1270346,27865,45.5893,
458730.KS,TIGER 미국배당다우존스,us_equity_krx,0.10932814493635015,1093281,15610,70.0372,
153130.KS,KODEX 단기채권,cash_krw,0.09996807797564246,999681,113300,8.8233,
133690.KS,TIGER 미국나스닥100,us_equity_krx,0.09340625582869636,934063,195705,4.7728,
SCHD,미국배당 ETF,us_equity_etf,0.07879072281463025,787907,49352,15.9651,
SPY,S&P500 ETF,us_equity_etf,0.06659818190739314,665982,1123028,0.593,fractional needed
148070.KS,KOSEF 국고채10년,bond,0.06449756014649244,644976,103855,6.2103,
QQQ,Nasdaq100 ETF,us_equity_etf,0.056058470284635425,560585,1078506,0.5198,fractional needed
IWM,미국소형주 ETF,us_equity_etf,0.05247473936903723,524747,434279,1.2083,
SHY,미국채1-3년 ETF,cash_usd,0.039762972951119524,397630,124850,3.1849,
261240.KS,KODEX 미국달러선물,cash_usd,0.03948328450317252,394833,15635,25.2531,
IEF,미국채7-10년 ETF,bond,0.035246674268866324,352467,142891,2.4667,
411060.KS,ACE KRX금현물,gold,0.03327031203935762,332703,28525,11.6636,
GLD,금 ETF,gold,0.029255754710722316,292558,595424,0.4913,fractional needed
TLT,미국채20년+ ETF,bond,0.029053208370367716,290532,129696,2.2401,
069500.KS,KODEX 200,kr_equity_etf,0.023077004498726714,230770,125725,1.8355,
229200.KS,KODEX 코스닥150,kr_equity_etf,0.022694051714730813,226941,17105,13.2675,
