,000270.KS,000660.KS,005380.KS,005930.KS,006400.KS,009540.KS,012450.KS,028260.KS,034020.KS,035420.KS,042660.KS,051910.KS,055550.KS,068270.KS,069500.KS,105560.KS,133690.KS,148070.KS,153130.KS,207940.KS,229200.KS,261240.KS,360750.KS,411060.KS,458730.KS,AAPL,AMD,AMZN,AVGO,COST,GOOGL,JPM,LLY,META,MSFT,NVDA,TLT,TSLA,V,XOM
2018-12-31,,,,0.021767115368046933,,0.004249671322290099,0.0073163933126969265,,,,0.002814775904365599,,0.042780018906172335,,0.054849113584063275,,0.05947781044009935,0.11732283932491577,0.14665354846758838,,0.013913542397509013,0.04852651081709595,0.09739229296535089,0.05730588596594959,0.17265554217522028,,0.002051269252120464,,,0.0265866465366337,,,0.041486011987583796,,0.017407814235211844,,0.03749710139039985,,0.027946095646685935,
2019-01-31,0.017666159168162072,,,,,0.004150544059689264,0.006276773294309556,,,,0.0028213643548130143,,0.03135285075940299,,0.0525372801891812,,0.0610454265170535,0.11536145008991752,0.14420181195876564,,0.018900841114237194,0.04863455317544174,0.08858365847130074,0.06459981258776482,0.16301113129652797,,0.0018143299327614934,,0.03364863985470958,0.025062458471457976,,,0.04003931703806116,,,,0.041802184775875134,,0.0384894128905675,
2019-02-28,0.0223702499651756,,,,0.024714380618421565,0.009602057221674606,0.011854865360623374,,,,0.006383002290541694,,,,0.08256281211803028,,0.03783446066225625,0.12051524125976346,0.15064405179769236,,0.04977295515342012,0.053510892174296304,0.058974998048908586,0.06891537164498393,0.06371492541473009,,0.005174480999862443,,0.047897300492205946,,,,0.07899487758838361,,0.023951806443295975,,0.02532981476824789,,0.05728145597748601,
2019-03-31,0.01617235503420226,,,,,,0.007633185868826706,,,,0.005891258034916159,0.01848453733459024,0.05568225349350659,,0.0912647713642176,,0.04268860722097915,0.09713021895886861,0.12141277326703731,,0.017542509333646462,0.08810578705902888,0.03589571675787239,0.16427997778407097,0.03902848741834757,,0.005325114217567756,,0.03550203551292032,,,,0.062213687878309915,,0.027045759845252624,,0.029071242930994112,,0.039629720684844216,
2019-04-30,0.013860725894094783,,,,0.013124201025761815,,0.01180451468772107,,,,,0.009544957659422142,0.029526579066710683,,0.0487695543799914,,0.030931005274826784,0.09328210542321065,0.11660263130950378,,0.0211210599712361,0.07425204007293192,0.04480998274476403,0.1836809651074358,0.04585342748634179,,0.00445067558653772,,0.05791508198630317,,,,0.06845841589890915,,0.02161173659879724,,0.03218225808691791,,0.07821808173858218,
2019-05-31,0.012628095896730872,,0.015046638111369083,,0.03361796441385999,,,,,,,0.04014907762507833,0.045283433112483326,,0.043020536578388405,,0.03847609168703357,0.07991794930698357,0.09989743633207519,,0.013401165113925351,0.07792975116807262,0.033258267403804796,0.20000000000000004,0.03549622745369969,,0.006186346880652143,,0.04806551147107447,,,,0.08328268688852701,,0.029151608336486074,,0.02782640412748048,,0.037364808092275104,
2019-06-30,0.006611164307135079,,0.008331496041185488,0.01985092349676639,,,,,,,0.007288002094887423,,0.023035951506571173,,0.04662424213417414,,0.03613461700357446,0.08225470238312929,0.10281837758079086,,0.014950985958758939,0.07585765105733534,0.05011680255532267,0.20000000000000007,0.04052909042076096,,0.0044624111907122345,,,0.05290838809865089,,,0.07225647718897404,,0.028039275052846705,,0.030966143732448943,,0.09696329819597516,
2019-07-31,0.013862369248261444,,0.016705629518893136,,,,0.009289869816132104,,,,0.004867272355290281,,0.05700465762717254,,0.05137883582848332,,0.05667912488707232,0.08050402632065086,0.1006300325331463,,0.016459748315348164,0.07789564735289625,0.04541438362725535,0.2,0.04609831671789449,,0.004339362338092651,,0.032231797003741944,0.04213839699081805,,,,,0.04714227334514071,,0.03228344579618737,,0.06507481037752279,
2019-08-31,0.01060716518377337,,0.01277290283135748,0.015461667855533276,0.02276305977121745,,,,,,,,0.03398201623249164,,0.03886337779528824,,0.034689004524899925,0.08705085229492017,0.10881356574607291,,0.019880966975578104,0.08705085259685835,0.05016980469847537,0.18900226531937242,0.0655896502637769,,0.005495801605939676,,0.016930066080810185,0.05256365691849806,,,,,0.05062743408660622,,0.028082464042776065,,0.06960342517575413,
2019-09-30,0.007093097223804101,,0.008534748518622681,,0.03148343637698781,,0.017799265686863103,,,0.014076278007080213,,,,,0.050902709932406136,,0.04151271955057245,0.08922890788735577,0.11153613501420231,,0.02161404710188994,0.08922890801136185,0.05901136527100763,0.18425361333727977,0.05108880545179889,,,,0.013959561350111513,0.05363846983962605,,,,0.0196114025456072,0.035079945094190816,,0.025752435749800337,,0.07459414804943149,
