,000270.KS,000660.KS,005380.KS,005930.KS,006400.KS,009540.KS,012450.KS,028260.KS,034020.KS,035420.KS,042660.KS,051910.KS,055550.KS,068270.KS,069500.KS,105560.KS,133690.KS,148070.KS,153130.KS,207940.KS,229200.KS,261240.KS,360750.KS,411060.KS,458730.KS,AAPL,AMD,AMZN,AVGO,COST,GOOGL,JPM,LLY,META,MSFT,NVDA,TLT,TSLA,V,XOM
2018-12-31,,,,0.140578433233821,,0.030538706824597132,0.0,,,,6.692203962556241e-17,,0.0,,6.310089976711692e-17,,2.3406474053408426e-16,0.19999999999999973,0.0999999999999994,,0.0,0.0,1.5268931415344846e-16,0.1999999999999998,1.2780631314444009e-17,,0.04221715757051642,,,0.0,,,0.05018204558480346,,0.14817466417076494,,2.1911387805401987e-16,,0.08830899261549753,
2019-01-31,3.961996610781988e-17,,,,,0.018785590829853174,0.0,,,,0.0,,0.00049528335298477,,0.060596548277495776,,4.203194417798134e-17,0.19999999999999993,0.15000000000000088,,1.509514355960833e-16,3.9736433138067346e-17,0.0,0.12361401290769033,2.444898992754466e-17,,0.05690267119636997,,0.14999999999999994,0.003446857151918483,,,0.0861590362836865,,,,0.0,,0.14999999999999994,
2019-02-28,3.464648437889204e-16,,,,0.0916370073249817,0.007879138819046647,1.517066267155002e-16,,,,0.0,,,,2.752424890171348e-16,,5.12229262306454e-16,0.19999999999999898,0.14999999999999608,,0.0,2.6412894837111276e-17,2.706015667083164e-16,7.396434830620646e-17,1.7748375810413816e-17,,0.047870902163336004,,0.1499999999999999,,,,0.11199522689466805,,0.14999999999999994,,2.1569896553958113e-16,,0.0906177247979708,
2019-03-31,0.0,,,,,,3.549490665864273e-17,,,,2.8526351026739336e-16,0.0,0.0,,0.0,,0.0,0.19701981121350817,0.03597851183383063,,1.2227775556444294e-16,0.0,0.0,0.15138844997185733,0.0,,0.03641646412807916,,0.14999999999999986,,,,0.14999999999999986,,0.14421069719458127,,0.0,,0.13498606565814336,
2019-04-30,0.0,,,,0.04387284100063061,,2.7770945450319293e-16,,,,,8.597417686067204e-17,1.0578263299597862e-16,,0.0,,9.856410705866058e-17,0.20000000000000004,0.14999999999999966,,1.0739714690562515e-16,6.735259410062127e-17,1.7949861875813023e-16,0.07683304833266061,4.307385687933487e-17,,0.017781443280911503,,0.15000000000000002,,,,0.1088238140172451,,0.1499999999999999,,0.0,,0.10268885336855162,
2019-05-31,1.2523574283687397e-16,,0.0,,0.03977129333538289,,,,,,,1.2776315973267987e-16,0.0,,0.0,,0.0,0.19999999999999984,0.15000000000000022,,0.0,0.0,0.0,0.14936889321359217,0.0,,0.0232247128304694,,0.06756003987834477,,,,0.09520735028129654,,0.14999999999999986,,0.0,,0.12486771046091417,
2019-06-30,0.0,,0.0,0.08583768566518137,,,,,,,0.0,,1.4341697614139172e-16,,0.0,,0.0,0.18005825282825075,0.16994174717175006,,3.689629969056664e-18,0.0,4.7137086892631184e-17,0.14625586591841258,1.223320150101896e-16,,0.014039723859933649,,,0.024820688799175976,,,0.07904603575729607,,0.14999999999999958,,0.0,,0.14999999999999977,
2019-07-31,0.0,,1.3904323454454504e-16,,,,0.0,,,,0.0,,0.006807644587843234,,9.956046862165459e-17,,0.0010153085689746945,0.1999999999999994,0.15000000000000374,,1.7241935318233465e-16,0.0,0.0,0.14999999999999966,0.0,,0.021730734960263735,,0.10629935365144084,0.06414695823147523,,,,,0.1499999999999995,,0.0,,0.14999999999999944,
2019-08-31,8.710758749727531e-16,,1.4368853107242792e-16,0.04773288472704407,0.04408206879964157,,,,,,,,0.0,,1.4942290337459797e-16,,0.0,0.19999999999999943,0.13090332820413889,,1.4945620862822005e-16,0.014019224589906284,0.0,0.15000000000000074,0.0,,0.012510813733106557,,0.04447608047330637,0.051198152266901345,,,,,0.14999999999999983,,0.005077447205954259,,0.14999999999999925,
2019-09-30,0.0,,0.0,,0.06711355468481323,,0.0,,,0.0,,,,,0.0,,0.0,0.04634896691263281,0.25000000000000044,,3.47552972570349e-17,0.03359542108732229,0.0,0.11331115217222867,0.008987649625086256,,,,0.06110681851906673,0.09948082499880512,,,,3.7034768817659517e-16,0.15000000000000027,,0.0200556120000437,,0.15000000000000022,
