,MVO_MaxSharpe,RiskParity,HRP,EqualWeight,name,asset_class
069500.KS,0.007308233750586463,0.02190549322814657,0.03960852253403359,0.04999999999999999,KODEX 200,kr_equity_etf
229200.KS,0.0,0.033015557139860964,0.01957479680063243,0.04999999999999999,KODEX 코스닥150,kr_equity_etf
360750.KS,0.06891379966435578,0.07095171339199281,0.1434540591346709,0.04999999999999999,TIGER 미국S&P500,us_equity_krx
133690.KS,0.04196630244924975,0.0547702498322807,0.06133115594653554,0.04999999999999999,TIGER 미국나스닥100,us_equity_krx
458730.KS,0.15108791454131273,0.09344354618588158,0.117286410870539,0.04999999999999999,TIGER 미국배당다우존스,us_equity_krx
411060.KS,0.13269892062186317,0.0763705589542896,0.06590140461360627,0.04999999999999999,ACE KRX금현물,gold
261240.KS,0.09879963784311628,0.2,0.0991511236292088,0.04999999999999999,KODEX 미국달러선물,cash_usd
153130.KS,0.24999999999999079,1e-06,0.123938904536511,0.04999999999999999,KODEX 단기채권,cash_krw
148070.KS,0.0012003621568830835,0.05887204039760172,0.09915112348314857,0.04999999999999999,KOSEF 국고채10년,bond
TLT,3.5229405236440705e-16,0.09112695960239939,0.0277588483511315,0.04999999999999999,미국채20년+ ETF,bond
000660.KS,0.020486696017075718,0.010928131851620261,0.0065652159385541494,0.04999999999999999,SK하이닉스,kr_stock
005930.KS,0.0,0.016887575189449226,0.02288741031742656,0.04999999999999999,삼성전자,kr_stock
005380.KS,0.0013341810374037223,0.01607114023577609,0.010178735338269941,0.04999999999999999,현대차,kr_stock
006400.KS,4.144632531379981e-16,0.013161194638290517,0.002272395414273514,0.04999999999999999,삼성SDI,kr_stock
034020.KS,0.03935525709859078,0.023363780460356753,0.008856745474889013,0.04999999999999999,두산에너빌리티,kr_stock
AMD,1.307108554025028e-16,0.015051666479780616,0.002380978477286164,0.04999999999999999,AMD,us_stock
GOOGL,0.018034567818970688,0.03320441775579588,0.024585864395310287,0.04999999999999999,알파벳,us_stock
XOM,0.04779041178270905,0.07718505187193099,0.0488584409632901,0.04999999999999999,엑슨모빌,us_stock
AAPL,0.05716787450183818,0.061194811331006314,0.05906186107283381,0.04999999999999999,애플,us_stock
NVDA,0.06385584071605291,0.03249511145353998,0.01719600270784887,0.04999999999999999,엔비디아,us_stock
