Date,SPY,QQQ,SCHD,IWM,GLD,IEF,SHY,TLT,NVDA,MSFT,AAPL,GOOGL,AMZN,META,AVGO,TSLA,LLY,JPM,V,XOM,COST,AMD,069500.KS,229200.KS,360750.KS,133690.KS,411060.KS,261240.KS,153130.KS,148070.KS,458730.KS,005930.KS,000660.KS,005380.KS,000270.KS,035420.KS,068270.KS,207940.KS,373220.KS,051910.KS,006400.KS,105560.KS,055550.KS,012450.KS,042660.KS,009540.KS,034020.KS,028260.KS
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,186048.71253356896,103525.70109460317,10007.747203950305,112407.8217764413,124757.88721728511,90321.39416892361,75120.14425193612,101706.44140010979,527.5778218030646,43395.93716902519,26457.03538653301,28701.29448712687,16869.872831243905,85124.90865260828,8250.67843633698,15989.161574660218,62643.970894596074,50605.58127992414,66805.95765776094,62494.37600963004,124468.27579186577,2919.91201824951,19737.84375,,,20218.001953125,,,92309.84375,91156.8671875,,20419.322265625,41411.86328125,116031.671875,35369.765625,140725.96875,26272.529296875,,,157035.328125,112104.7265625,22631.830078125,27883.611328125,23427.19140625,162957.375,69437.0,16983.748046875,143650.0
2015-01-05,185595.46922302246,103630.13718414307,10023.959399223328,112669.61637878418,128653.80339050293,92318.31749725342,76315.36405181885,104947.72052764893,526.9194178283215,43681.01472854614,26120.782096862793,28602.38019180298,16786.654423713684,85090.35011291504,8247.962047576904,15560.665516853333,63013.920959472656,49814.70153045654,66370.74771881104,61751.526527404785,125011.03856658936,2955.260095357895,19701.92578125,,,20189.130859375,,,92314.46875,91092.109375,,20465.384765625,41325.1328125,115345.0859375,35166.87890625,144191.171875,26138.31640625,,,152237.03125,110188.40625,22254.6328125,27695.630859375,22463.736328125,158177.28125,66647.125,17170.384765625,122228.5078125
2015-01-06,183433.64497375488,102010.5683670044,9940.249338626862,110471.27039337158,129827.52304458618,92729.36727905273,76179.63108444214,106598.21002578735,509.79418547451496,42943.02545928955,26064.46338558197,27833.714701652527,16366.447877883911,83755.00127792358,8042.23792719841,15613.591486930847,63189.329051971436,48413.8888835907,65794.69139099121,61285.03765296936,126377.98152923584,2915.3551268577576,19350.673828125,,,19799.49609375,,,92332.9296875,91699.171875,,19881.98046875,41195.0546875,112942.0625,34625.8515625,143036.109375,25668.564453125,,,144821.453125,106355.7578125,22191.765625,27288.34375,21753.8203125,147313.46875,63547.2578125,16573.15234375,116348.125
2015-01-07,183842.94880419597,102281.62203031406,9955.845151462127,110701.77913717553,127758.645019928,91775.41274169832,75445.59018429741,105312.80123395287,503.3286232718747,43049.24869258609,26162.89830814395,27471.463275354356,16372.813509516884,82908.76589252613,8176.032082170015,15431.695502226474,62111.27068186831,47997.877521114424,66002.54519508127,61280.50993170496,127279.40505032986,2831.0340422592126,19390.587890625,,,19429.09765625,,,92346.765625,91946.0546875,,20066.2109375,41108.3203125,116718.2421875,35031.625,140918.484375,25433.689453125,,,143512.84375,105876.6796875,22003.1640625,26630.416015625,21703.115234375,150355.328125,63547.2578125,16423.84375,113827.9375
2015-01-08,187190.47009651735,104286.7498594299,10144.598745089723,112630.82423263416,127278.94034130871,91442.78578259982,75471.07318103313,103965.48052446172,522.5005208134753,44335.87595955748,27180.52230040077,27579.736594661605,16492.24987390288,85157.73141827434,8588.537823637482,15414.576270977268,63611.629843488336,49092.78196871281,66918.29267290514,62328.931159727275,128431.44110515527,2865.258012277598,19638.05859375,,,19862.03125,,,92360.5859375,91553.484375,,20173.677734375,43319.84375,122210.8671875,35302.13671875,143228.59375,25567.90625,,,146566.3125,109230.25,23009.025390625,28008.931640625,21601.69921875,147748.015625,61625.33984375,16573.15234375,113407.9296875
2015-01-09,185098.42541462556,103269.97524240986,10034.27234466793,111193.57353831641,128317.62606326304,91600.86719838344,75292.6806812156,104769.05243103392,522.9325636130961,43823.055151356384,27122.92575914832,27156.095727516804,16246.526109066792,84408.4943013154,8652.717176334816,15076.536458682502,62567.760772146285,48085.4169588238,65716.14012443554,62042.62665676512,126051.9076676406,2878.009253650671,19857.583984375,,,19862.03125,,,92369.8125,91861.0625,,20173.677734375,43103.02734375,123584.0,36113.68359375,144768.703125,25769.2265625,,,155726.6875,110667.4921875,23166.189453125,28228.244140625,23021.529296875,151224.4375,62307.3046875,17133.056640625,126008.7734375
2015-01-12,181550.6468632929,101025.84769192152,9864.948527615983,109558.7898800429,128258.2111479491,90873.20969705097,74476.59996344335,104164.95953099616,510.47786063329113,42780.82501521427,26152.410123209935,26649.66781205125,15762.368015870685,82349.47013843432,8411.995701339096,14583.3863424398,61401.97028471436,47127.59833686799,64838.31880331226,60155.19556337036,123916.46006849594,2845.1342522201594,19809.6953125,,,19563.787109375,,,92383.6484375,92472.171875,,20204.37890625,43623.375,121867.5859375,35843.16796875,144383.671875,25836.333984375,,,157471.53125,111146.5546875,22474.666015625,27257.01171875,23122.943359375,149486.234375,61997.32421875,16946.421875,123908.6328125
2015-01-13,180973.0927270688,100958.63239402324,9838.928634564509,109602.40720464662,127778.23084497079,90923.45599864237,74492.97727992386,104126.44175966922,509.5117206446448,42544.74812847376,26374.85090977885,26893.852297838777,15936.592663066112,82029.30546672922,8361.602973312722,14725.063803278608,61343.89568652632,47118.166314915754,65003.772919879295,59913.25506890053,122627.77776390966,2876.524157758715,19897.505859375,,,19457.95703125,,,92392.890625,92601.6875,,20557.498046875,42495.94140625,123240.7265625,36654.70703125,142458.578125,26641.62109375,,,157035.328125,108751.1484375,22568.96484375,27413.65625,23477.900390625,147748.015625,61997.32421875,16610.478515625,115928.0859375
2015-01-14,179165.2826165054,100002.50213316735,9752.76362428756,108729.04826181382,127065.48543469235,90979.4395981254,74240.5325350631,104499.13485442568,509.5506785737198,42009.96422035899,26169.87996140169,27007.37877130648,15794.05531121674,81521.44305423461,8394.11512474314,13836.425982324989,61434.62802720163,45311.69737382233,63449.305105940904,59502.63664757693,120599.17943425756,2832.7730590553256,19809.6953125,,,19294.404296875,,,92402.1015625,93083.2890625,,20649.615234375,42409.21484375,121867.5859375,36248.94140625,142266.03125,27010.7109375,,,154854.28125,107313.921875,23071.888671875,27476.322265625,22666.5703125,149051.671875,61129.36328125,16461.173828125,115088.046875
